date,content,tags
"2023-08-28","Landed in Dublin. The air feels different – crisp and damp, not like home at all. Exhausted from the flight but buzzing with a nervous energy. Found my accommodation near UCD, it's basic but it's mine for now. The sheer greenness of everything driving from the airport was striking. Already feeling a bit overwhelmed thinking about the MSc, the people, the unknown. Called Mom and Dad, tried to sound confident but pretty sure they heard the wobble in my voice. Need to unpack and maybe find somewhere to eat that isn't airport food. Tomorrow, UCD orientation. Deep breaths.","[""arrival"", ""dublin"", ""ucd"", ""nervous"", ""homesick"", ""new beginnings""]"
"2023-08-29","Orientation Day 1. Campus is massive, definitely need the map. Attended the welcome talk for international students. So many faces from all over the world. Felt a strange mix of excitement and loneliness. Got my student card (UCard). Went to the bank to try and open an account – need proof of address, which is slightly tricky. The bureaucracy begins! Found a small Indian grocery store nearby, bought some familiar spices. Small comfort.","[""ucd"", ""orientation"", ""international student"", ""admin"", ""banking"", ""homesick"", ""campus""]"
"2023-08-31","Met Rohan today at the Computer Science specific orientation. He's from Bangalore, doing the same Negotiated Learning MSc. Instant relief finding someone in the exact same boat. We exchanged numbers and complained about SIM card activation issues. He seems cool, quite knowledgeable already about the modules. We grabbed lunch at the UCD student centre cafe. Overpriced sandwiches, but good conversation.","[""ucd"", ""orientation"", ""computer science"", ""negotiated learning"", ""friends"", ""rohan"", ""international student"", ""india""]"
"2023-09-02","Finished orientation week. It was a whirlwind. Attended talks on plagiarism, library resources, careers service. Signed up for the UCD Indian Society (IndSoc) and the International Students' Society. Went to a 'speed friending' event – awkward but met a few people, including Kenji from Japan. Trying to remember names is impossible. Feeling slightly more oriented but also aware the real work starts next week.","[""ucd"", ""orientation"", ""societies"", ""indsoc"", ""international student"", ""friends"", ""kenji"", ""campus life""]"
"2023-09-05","First day of lectures. Distributed Systems (DS) with Prof. O'Malley is intense from minute one. Concepts like vector clocks flew by. Cloud Computing seems okay, familiar AWS intro. Big Data lecture was interesting, talked about the 3 Vs. ML intro was mostly math refresher - linear algebra hurts. Text Analytics seems practical. Head is spinning trying to process it all. Found the James Joyce library - huge and intimidating.","[""ucd"", ""lectures"", ""distributed systems"", ""cloud computing"", ""big data"", ""machine learning"", ""text analytics"", ""study"", ""first day"", ""overwhelmed""]"
"2023-09-08","Trying to establish a routine. Wake up, quick breakfast, cycle to UCD (bought a second-hand bike, Dublin drivers are scary!), lectures, library, cycle back, attempt to cook something edible, call home, sleep. Repeat. The DS readings are dense academic papers. Started a study group chat with Rohan. Weather is mostly grey and drizzly. Missing sunshine.","[""ucd"", ""routine"", ""study"", ""distributed systems"", ""cycling"", ""dublin"", ""weather"", ""homesick"", ""rohan""]"
"2023-09-12","First lab session for Cloud Computing. Setting up an AWS account and spinning up an EC2 instance. Felt good to do something practical. Text Analytics lab involved using NLTK in Python for tokenization. Enjoying the hands-on parts more than the pure theory. Met Aoife in the Text Analytics lab, she's Irish and friendly. Helped her with a Python error.","[""ucd"", ""labs"", ""cloud computing"", ""aws"", ""ec2"", ""text analytics"", ""nltk"", ""python"", ""friends"", ""aoife""]"
"2023-09-16","Went to the IndSoc 'Chai and Chat'. Nice to just relax and speak Hindi/Tamil. Lots of seniors giving advice (mostly warnings) about specific modules and the job market. Feeling a bit more connected to the Indian community here. Still feels weird being a minority though. Cooked rajma chawal tonight, tasted almost like Mom's. Almost.","[""ucd"", ""social"", ""indsoc"", ""indian student"", ""community"", ""homesick"", ""food"", ""culture""]"
"2023-09-20","Distributed Systems assignment 1 released. Consensus algorithms - Paxos and Raft. Looks terrifying. Spent hours reading the Paxos paper, still feels opaque. Rohan and I booked a library study room for the weekend. Need to tackle this together. Feeling the first real wave of academic pressure.","[""ucd"", ""assignments"", ""distributed systems"", ""paxos"", ""raft"", ""study"", ""stress"", ""rohan""]"
"2023-09-24","Weekend spent mostly in the library with Rohan. Whiteboard sessions trying to understand Paxos roles (proposers, acceptors, learners). It's slowly making sense, but implementing even a simulation seems hard. Took a break Sunday evening, went for a walk around campus. It's surprisingly peaceful when it's less crowded. Need to manage stress better.","[""ucd"", ""study"", ""assignments"", ""distributed systems"", ""paxos"", ""library"", ""rohan"", ""stress"", ""campus""]"
